책제목,저자,Lexile,소장위치,등록번호,대출상태,청구기호
King Arthur,Terry M West,520,[영어]부산영어도서관 500-590L,BGE000072644,대출가능,500~590L 428-29-1-2
A Home in the Swamp,David C Lion,520,[영어]부산영어도서관 500-590L,BGE000001780,대출가능,500~590L 577-1
From Bulb To Daffodil,Ellen Weiss,520,[영어]부산영어도서관 500-590L,BGE000010905,대출가능,500~590L 653-1
Animals of Long Ago,Susan Ring,520,[영어]부산영어도서관 500-590L,BGE000062375,대출불가(관외대출중),500~590L 590-11
The Sheep Who Wouldn't Sleep,Susan Rich Booke,520,[영어]부산영어도서관 500-590L,BGE000079895,대출가능,500~590L 823-315-1
My Body,Andrea Pinnington,520,[영어]부산영어도서관 500-590L,BGE000069521,대출가능,500~590L 833-17-1
It's Beach Day!,Steve Metzger,520,[영어]부산영어도서관 500-590L,BGE000044896,대출가능,500~590L 813-1449-11
Castle On Hester Street,Linda Heller,520,[영어]부산영어도서관 500-590L,BGE000036953,대출가능,500~590L 813-1001
Dinosaur Bob And His Adventures With The Family Lazardo,William Joyce,520,[영어]부산영어도서관 500-590L,BGE000053584,대출가능,500~590L 823-163
Keeping Clean,Rhonda Howie,520,[영어]부산영어도서관 500-590L,BGE000062358,대출가능,500~590L 363-10-3
Chicken Of The Family,Mary Amato,520,[영어]부산영어도서관 500-590L,BGE000034376,대출가능,500~590L 813-850
Mystery At Peacock Hall,Gertrude Chandler Warner,520,[영어]부산영어도서관 500-590L,BGE000067843,대출가능,500~590L 813-916-63
Nothing,Jon Agee,520,[영어]부산영어도서관 500-590L,BGE000032422,대출가능,500~590L 813-713
Danger At Sand Cave,Candice F Ransom,520,[영어]부산영어도서관 500-590L,BGE000059866,대출가능,500~590L 813-2228
Frozen Fire,Tim Bowler,520,[영어]부산영어도서관 500-590L,BGE000033181,대출가능,500~590L 813-703
Vunce Upon A Time,J  Otto Seibold,520,[영어]부산영어도서관 500-590L,BGE000045890,대출가능,500~590L 813-1484
Tudley Didn't Know,John Himmelman,520,[영어]부산영어도서관 500-590L,BGE000034530,대출가능,500~590L 813-865
Gator Gumbo,Candace Fleming,520,[영어]부산영어도서관 500-590L,BGE000022505,대출가능,500~590L 813-457
Minifred Goes To School,Mordicai Gerstein,520,[영어]부산영어도서관 500-590L,BGE000034067,대출가능,500~590L 813-825
Timothy And The Strong Pajamas,Viviane Schwarz,520,[영어]부산영어도서관 500-590L,BGE000015183,대출가능,500~590L 813-251
It's Hard To Dribble With Your Feet,Val Priebe,520,[영어]부산영어도서관 500-590L,BGE000069071,대출가능,500~590L 813-1696-5
Summer Jackson: Grown Up,Teresa E Harris,520,[영어]부산영어도서관 500-590L,BGE000038754,대출가능,500~590L 813-1130
On Guard,Jake Maddox,520,[영어]부산영어도서관 500-590L,BGE000080660,대출불가(관외대출중),500~590L 741-42
Yorkshire Terrier,Charles George,520,[영어]부산영어도서관 500-590L,BGE000043113,대출가능,500~590L 636-18
Ruby's Baby Brother,Kathryn White,520,[영어]부산영어도서관 500-590L,BGE000058355,대출가능,500~590L 823-186
"Trick Or Treat, Smell My Feet",Diane deGroat,520,[영어]부산영어도서관 500-590L,BGE000027655,대출가능,500~590L 813-527
"Lovely, Dark, And Deep",Amy McNamara,520,[영어]부산영어도서관 500-590L,BGE000046464,대출가능,500~590L 813-1501
Wall,Eve Bunting,520,[영어]부산영어도서관 500-590L,BGE000070694,대출가능,500~590L 813-2432
Cool Skateboarding Facts,Sandy Donovan,520,[영어]부산영어도서관 500-590L,BGE000039529,대출가능,500~590L 796-11-4
Harriet Tubman,Violet Findley,520,[영어]부산영어도서관 500-590L,BGE000043114,대출가능,500~590L 920-13
Desert Is Theirs,Byrd Baylor,520,[영어]부산영어도서관 500-590L,BGE000041270,대출가능,500~590L 508-16
Lost!,Helen Orme,520,[영어]부산영어도서관 500-590L,BGE000081643,대출가능,500~590L 813-2614-3
Pig-Boy: A Trickster Tale From Hawai'i,Gerald McDermott,520,[영어]부산영어도서관 500-590L,BGE000027942,대출가능,500~590L 398-28
One For The Murphys,Lynda Mullaly Hunt,520,[영어]부산영어도서관 500-590L,BGE000049594,대출가능,500~590L 813-1664
Dog-Gone Mystery,Gertrude Chandler Warner,520,[영어]부산영어도서관 500-590L,BGE000035550,대출불가(관외대출중),500~590L 813-916-119
Bring Back My Gerbil!,Edith Tarbescu,520,[영어]부산영어도서관 500-590L,BGE000042951,대출가능,500~590L 813-66-4-2
Virgie Goes To School With Us Boys,Elizabeth Fitzgerald Howard,520,[영어]부산영어도서관 500-590L,BGE000022569,대출가능,500~590L 813-501
Star,Jo Ann Simon,520,[영어]부산영어도서관 500-590L,BGE000071896,대출가능,500~590L 813-2469-2
The Cloudspotter,Tom McLaughlin,520,[영어]부산영어도서관 500-590L,BGE000055327,대출가능,500~590L 813-1966
Zen Socks,Jon J Muth,520,[영어]부산영어도서관 500-590L,BGE000052334,대출가능,500~590L 813-1823
Stormy,Elizabeth Mills,520,[영어]부산영어도서관 500-590L,BGE000036365,대출가능,500~590L 813-950
Going Green,Christine Pakkala,520,[영어]부산영어도서관 500-590L,BGE000073123,대출가능,500~590L 509-19-2
Patchwork Quilt,Valerie Flournoy,520,[영어]부산영어도서관 500-590L,BGE000001966,대출가능,500~590L 813-52
I'm Sticking With You,Smriti Halls,520,[영어]부산영어도서관 500-590L,BGE000074035,대출가능,500~590L 813-2533-1
On Thin Ice (Katie Kazoo),Nancy Krulik,520,[영어]부산영어도서관 500-590L,BGE000040773,대출불가(관외대출중),500~590L 813-210-37
Little Red Bird,Nick Bruel,520,[영어]부산영어도서관 500-590L,BGE000036836,대출가능,500~590L 813-1003
Toys In Space,Mini Grey,520,[영어]부산영어도서관 500-590L,BGE000046601,대출가능,500~590L 813-1523
Hyenas (Animals),Kevin J Holmes,520,[영어]부산영어도서관 500-590L,BGE000013967,대출가능,500~590L 599-11
Glaciers,Colleen Sexton,520,[영어]부산영어도서관 500-590L,BGE000059297,대출가능,500~590L 551-29-4
Storm,Donna Jo Napoli,520,[영어]부산영어도서관 500-590L,BGE000066164,대출가능,500~590L 813-2400
Laura Bush (Rookie Biographies),Wil Mara,520,[영어]부산영어도서관 500-590L,BGE000011008,대출불가(관외대출중),500~590L 920-9-B-6
Silver,Norma Fox Mazer,520,[영어]부산영어도서관 500-590L,BGE000071897,대출가능,500~590L 813-2469-3
Second Grade Friends,Miriam Cohen,520,[영어]부산영어도서관 500-590L,BGE000002371,대출가능,500~590L 813-37
King's Taster,Kenneth Oppel,520,[영어]부산영어도서관 500-590L,BGE000032672,대출가능,500~590L 813-674
The Odds,Matt Stanton,520,[영어]부산영어도서관 500-590L,BGE000080669,대출가능,500~590L 813-1623-3
It's Snowing!,Steve Metzger,520,[영어]부산영어도서관 500-590L,BGE000044895,대출가능,500~590L 813-1449-10
Penny,Jane E Gerver,520,[영어]부산영어도서관 500-590L,BGE000069159,대출가능,500~590L 813-2420-3
I Am Rosa Parks,Rosa Parks,520,[영어]부산영어도서관 500-590L,BGE000049687,대출가능,500~590L 920-17-18
Louis Braille,Jayne Woodhouse,520,[영어]부산영어도서관 500-590L,BGE000005110,대출가능,500~590L 686-1
School Rules,Larry Dane Brimner,520,[영어]부산영어도서관 500-590L,BGE000015150,대출가능,500~590L 808-1-C-2
Bedtime For Bear,Bonny Becker,520,[영어]부산영어도서관 500-590L,BGE000053166,대출가능,500~590L 813-1866
The Tiger Rising,Kate DiCamillo,520,[영어]부산영어도서관 500-590L,BGE000054285,대출가능,500~590L 813-588=9
Arthur's Homework,Marc Brown,520,[영어]부산영어도서관 500-590L,BGE000062376,대출가능,500~590L 813-2246-1
A Rainbow Of My Own,Don Freeman,520,[영어]부산영어도서관 500-590L,BGE000057797,대출가능,500~590L 813-2114
Hey! Who Stole The Toilet?,Nancy Krulik,520,[영어]부산영어도서관 500-590L,BGE000047491,대출불가(관외대출중),500~590L 813-1288-8
Now You See Me...Now You Don't,Dan Greenburg,520,[영어]부산영어도서관 500-590L,BGE000054130,대출불가(관외대출중),500~590L 813-61-12=4
The Kissing Hand,Audrey Penn,520,[영어]부산영어도서관 500-590L,BGE000057718,대출가능,500~590L 813-343-1=3
The Haunted Library,Dori Hillestad Butler,520,[영어]부산영어도서관 500-590L,BGE000051749,대출가능,500~590L 823-151-1
Attack Of The Tagger,Wendelin Van Draanen,520,[영어]부산영어도서관 500-590L,BGE000042387,대출가능,500~590L 813-305-2
The Encounter,K  A Applegate,520,[영어]부산영어도서관 500-590L,BGE000040019,대출가능,500~590L 813-252-3
Drat! You Copycat!,Nancy Krulik,520,[영어]부산영어도서관 500-590L,BGE000029622,대출불가(관외대출중),500~590L 813-210-7
The Emperor and the Nightingale,Rosie Dickins,520,[영어]부산영어도서관 500-590L,BGE000074303,대출불가(관외대출중),500~590L 428-31-1-3
From Tadpole To Frog,Wendy Pfeffer,520,[영어]부산영어도서관 500-590L,BGE000001570,대출가능,500~590L 597-1
Trouble Magnet,Nancy Krulik,520,[영어]부산영어도서관 500-590L,BGE000041834,대출불가(관외대출중),500~590L 813-1288-2
Gingerbread Boy,Richard Egielski,520,[영어]부산영어도서관 500-590L,BGE000040481,대출가능,500~590L 398-63
Dolphins,Justin McCory Martin,520,[영어]부산영어도서관 500-590L,BGE000017642,대출가능,500~590L 508-13-19
"Louder, Lili",Gennifer Choldenko,520,[영어]부산영어도서관 500-590L,BGE000032312,대출가능,500~590L 813-720
Mr. George Baker,Amy Hest,520,[영어]부산영어도서관 500-590L,BGE000022626,대출불가(관외대출중),500~590L 813-449
